dataset,split,classe,fichier,largeur_px,hauteur_px,pixels_total,ratio_wh,lum_moyenne,lum_std,contraste,pixel_min,pixel_max,r_mean,g_mean,b_mean,is_augmented
OCT,train,CNV,CNV-1016042-7.jpeg,512,496,253952,1.032,41.52,46.83,255,0,255,41.52,41.52,41.52,0
OCT,train,CNV,CNV-1016042-70.jpeg,768,496,380928,1.548,33.58,39.39,255,0,255,33.58,33.58,33.58,0
OCT,train,CNV,CNV-1016042-73.jpeg,512,496,253952,1.032,79.91,71.21,255,0,255,79.91,79.91,79.91,0
OCT,train,CNV,CNV-1016042-75.jpeg,512,496,253952,1.032,56.06,55.69,255,0,255,56.06,56.06,56.06,0
OCT,train,CNV,CNV-1016042-78.jpeg,512,496,253952,1.032,56.8,68.65,255,0,255,56.8,56.8,56.8,0
OCT,train,CNV,CNV-1016042-81.jpeg,1536,496,761856,3.097,36.39,38.43,255,0,255,36.39,36.39,36.39,0
OCT,train,CNV,CNV-1016042-87.jpeg,1536,496,761856,3.097,32.72,36.29,255,0,255,32.72,32.72,32.72,0
OCT,train,CNV,CNV-1016042-90.jpeg,1536,496,761856,3.097,34.74,36.25,255,0,255,34.74,34.74,34.74,0
OCT,train,CNV,CNV-103044-1.jpeg,768,496,380928,1.548,38.68,40.07,255,0,255,38.68,38.68,38.68,0
OCT,train,CNV,CNV-103044-10.jpeg,512,496,253952,1.032,43.66,49.12,255,0,255,43.66,43.66,43.66,0
OCT,train,CNV,CNV-103044-100.jpeg,512,496,253952,1.032,57.63,47.95,255,0,255,57.63,57.63,57.63,0
OCT,train,CNV,CNV-103044-104.jpeg,512,496,253952,1.032,63.15,52.37,255,0,255,63.15,63.15,63.15,0
OCT,train,CNV,CNV-103044-106.jpeg,768,496,380928,1.548,47.23,43.94,255,0,255,47.23,47.23,47.23,0
OCT,train,CNV,CNV-103044-108.jpeg,768,496,380928,1.548,42.77,39.92,255,0,255,42.77,42.77,42.77,0
OCT,train,CNV,CNV-103044-110.jpeg,512,496,253952,1.032,58.74,47.68,255,0,255,58.74,58.74,58.74,0
OCT,train,CNV,CNV-103044-112.jpeg,512,496,253952,1.032,73.71,64.82,255,0,255,73.71,73.71,73.71,0
OCT,train,CNV,CNV-103044-118.jpeg,768,496,380928,1.548,51.17,46.89,255,0,255,51.17,51.17,51.17,0
OCT,train,CNV,CNV-103044-120.jpeg,512,496,253952,1.032,78.2,66.92,255,0,255,78.2,78.2,78.2,0
OCT,train,CNV,CNV-103044-122.jpeg,512,496,253952,1.032,81.02,73.52,255,0,255,81.02,81.02,81.02,0
OCT,train,CNV,CNV-103044-124.jpeg,512,496,253952,1.032,82.29,78.24,255,0,255,82.29,82.29,82.29,0
OCT,train,CNV,CNV-103044-126.jpeg,768,496,380928,1.548,42.03,38.37,255,0,255,42.03,42.03,42.03,0
OCT,train,CNV,CNV-103044-128.jpeg,768,496,380928,1.548,41.12,39.78,255,0,255,41.12,41.12,41.12,0
OCT,train,CNV,CNV-103044-130.jpeg,512,496,253952,1.032,46.48,42.12,255,0,255,46.48,46.48,46.48,0
OCT,train,CNV,CNV-103044-136.jpeg,768,496,380928,1.548,36.47,34.95,255,0,255,36.47,36.47,36.47,0
OCT,train,CNV,CNV-103044-138.jpeg,768,496,380928,1.548,39.28,40.49,255,0,255,39.28,39.28,39.28,0
OCT,train,CNV,CNV-103044-140.jpeg,768,496,380928,1.548,38.97,30.84,255,0,255,38.97,38.97,38.97,0
OCT,train,CNV,CNV-103044-142.jpeg,768,496,380928,1.548,46.35,41.75,255,0,255,46.35,46.35,46.35,0
OCT,train,CNV,CNV-103044-146.jpeg,1536,496,761856,3.097,32.33,33.14,255,0,255,32.33,32.33,32.33,0
OCT,train,CNV,CNV-103044-148.jpeg,512,496,253952,1.032,32.27,46.1,255,0,255,32.27,32.27,32.27,0
OCT,train,CNV,CNV-103044-15.jpeg,512,496,253952,1.032,47.76,52.85,255,0,255,47.76,47.76,47.76,0
OCT,train,CNV,CNV-103044-150.jpeg,512,496,253952,1.032,45.68,55.36,255,0,255,45.68,45.68,45.68,0
OCT,train,CNV,CNV-103044-152.jpeg,512,496,253952,1.032,50.08,58.58,255,0,255,50.08,50.08,50.08,0
OCT,train,CNV,CNV-103044-154.jpeg,512,496,253952,1.032,50.08,49.07,255,0,255,50.08,50.08,50.08,0
OCT,train,CNV,CNV-103044-158.jpeg,512,496,253952,1.032,45.99,44.34,255,0,255,45.99,45.99,45.99,0
OCT,train,CNV,CNV-103044-160.jpeg,768,496,380928,1.548,32.84,33.94,255,0,255,32.84,32.84,32.84,0
OCT,train,CNV,CNV-103044-162.jpeg,768,496,380928,1.548,37.84,42.11,255,0,255,37.84,37.84,37.84,0
OCT,train,CNV,CNV-103044-164.jpeg,768,496,380928,1.548,27.98,29.34,255,0,255,27.98,27.98,27.98,0
OCT,train,CNV,CNV-103044-168.jpeg,512,496,253952,1.032,50.74,54.56,255,0,255,50.74,50.74,50.74,0
OCT,train,CNV,CNV-103044-17.jpeg,768,496,380928,1.548,40.15,39.67,255,0,255,40.15,40.15,40.15,0
OCT,train,CNV,CNV-103044-170.jpeg,512,496,253952,1.032,46.46,50.47,255,0,255,46.46,46.46,46.46,0
OCT,train,CNV,CNV-103044-172.jpeg,512,496,253952,1.032,50.71,51.66,255,0,255,50.71,50.71,50.71,0
OCT,train,CNV,CNV-103044-174.jpeg,512,496,253952,1.032,48.2,46.18,255,0,255,48.2,48.2,48.2,0
OCT,train,CNV,CNV-103044-176.jpeg,512,496,253952,1.032,50.15,47.65,255,0,255,50.15,50.15,50.15,0
OCT,train,CNV,CNV-103044-186.jpeg,768,496,380928,1.548,28.25,31.02,255,0,255,28.25,28.25,28.25,0
OCT,train,CNV,CNV-103044-188.jpeg,512,496,253952,1.032,40.62,40.76,255,0,255,40.62,40.62,40.62,0
OCT,train,CNV,CNV-103044-19.jpeg,768,496,380928,1.548,42.49,40.98,255,0,255,42.49,42.49,42.49,0
OCT,train,CNV,CNV-103044-190.jpeg,512,496,253952,1.032,48.89,47.62,255,0,255,48.89,48.89,48.89,0
OCT,train,CNV,CNV-103044-192.jpeg,512,496,253952,1.032,37.32,38.57,255,0,255,37.32,37.32,37.32,0
OCT,train,CNV,CNV-103044-196.jpeg,512,496,253952,1.032,43.51,44.69,255,0,255,43.51,43.51,43.51,0
OCT,train,CNV,CNV-103044-22.jpeg,512,496,253952,1.032,47.88,51.77,255,0,255,47.88,47.88,47.88,0
OCT,train,CNV,CNV-103044-26.jpeg,512,496,253952,1.032,55.65,57.1,255,0,255,55.65,55.65,55.65,0
OCT,train,CNV,CNV-103044-3.jpeg,768,496,380928,1.548,39.08,42.49,255,0,255,39.08,39.08,39.08,0
OCT,train,CNV,CNV-103044-32.jpeg,768,496,380928,1.548,37.09,38.2,255,0,255,37.09,37.09,37.09,0
OCT,train,CNV,CNV-103044-41.jpeg,512,496,253952,1.032,43.26,45.43,255,0,255,43.26,43.26,43.26,0
OCT,train,CNV,CNV-103044-47.jpeg,512,496,253952,1.032,67.5,51.26,255,0,255,67.5,67.5,67.5,0
OCT,train,CNV,CNV-103044-51.jpeg,768,496,380928,1.548,43.6,45.33,255,0,255,43.6,43.6,43.6,0
OCT,train,CNV,CNV-103044-56.jpeg,512,496,253952,1.032,39.04,41.23,255,0,255,39.04,39.04,39.04,0
OCT,train,CNV,CNV-103044-62.jpeg,512,496,253952,1.032,64.3,62.96,255,0,255,64.3,64.3,64.3,0
OCT,train,CNV,CNV-103044-68.jpeg,512,496,253952,1.032,70.75,65.53,255,0,255,70.75,70.75,70.75,0
OCT,train,CNV,CNV-103044-7.jpeg,512,496,253952,1.032,44.56,46.24,255,0,255,44.56,44.56,44.56,0
OCT,train,CNV,CNV-103044-72.jpeg,768,496,380928,1.548,42.31,42.94,255,0,255,42.31,42.31,42.31,0
OCT,train,CNV,CNV-103044-80.jpeg,768,496,380928,1.548,33.7,32.64,255,0,255,33.7,33.7,33.7,0
OCT,train,CNV,CNV-103044-84.jpeg,512,496,253952,1.032,48.14,42.12,255,0,255,48.14,48.14,48.14,0
OCT,train,CNV,CNV-103044-86.jpeg,512,496,253952,1.032,52.53,49.02,255,0,255,52.53,52.53,52.53,0
OCT,train,CNV,CNV-103044-88.jpeg,512,496,253952,1.032,73.21,71.53,255,0,255,73.21,73.21,73.21,0
OCT,train,CNV,CNV-103044-90.jpeg,768,496,380928,1.548,41.1,37.96,255,0,255,41.1,41.1,41.1,0
OCT,train,CNV,CNV-103044-92.jpeg,768,496,380928,1.548,44.82,39.96,255,0,255,44.82,44.82,44.82,0
OCT,train,CNV,CNV-103044-94.jpeg,512,496,253952,1.032,44.06,47.98,255,0,255,44.06,44.06,44.06,0
OCT,train,CNV,CNV-103044-96.jpeg,512,496,253952,1.032,49.53,54.4,255,0,255,49.53,49.53,49.53,0
OCT,train,CNV,CNV-103044-98.jpeg,512,496,253952,1.032,50.13,53.08,255,0,255,50.13,50.13,50.13,0
OCT,train,CNV,CNV-1068273-1.jpeg,768,496,380928,1.548,38.58,38.44,255,0,255,38.58,38.58,38.58,0
OCT,train,CNV,CNV-1068273-4.jpeg,512,496,253952,1.032,47.32,52.65,255,0,255,47.32,47.32,47.32,0
OCT,train,CNV,CNV-1068273-7.jpeg,768,496,380928,1.548,50.53,45.14,255,0,255,50.53,50.53,50.53,0
OCT,train,CNV,CNV-1072411-13.jpeg,512,496,253952,1.032,69.73,80.27,255,0,255,69.73,69.73,69.73,0
OCT,train,CNV,CNV-1072411-15.jpeg,512,496,253952,1.032,69.98,77.82,255,0,255,69.98,69.98,69.98,0
OCT,train,CNV,CNV-1072411-17.jpeg,768,496,380928,1.548,40.89,40.97,255,0,255,40.89,40.89,40.89,0
OCT,train,CNV,CNV-1072411-6.jpeg,512,496,253952,1.032,80.38,76.83,255,0,255,80.38,80.38,80.38,0
OCT,train,CNV,CNV-1072411-9.jpeg,1536,496,761856,3.097,28.62,32.06,255,0,255,28.62,28.62,28.62,0
OCT,train,CNV,CNV-1077513-1.jpeg,768,496,380928,1.548,43.17,42.2,255,0,255,43.17,43.17,43.17,0
OCT,train,CNV,CNV-1077513-2.jpeg,1024,496,507904,2.065,44.61,43.77,255,0,255,44.61,44.61,44.61,0
OCT,train,CNV,CNV-1077513-3.jpeg,1024,496,507904,2.065,61.31,66.32,255,0,255,61.31,61.31,61.31,0
OCT,train,CNV,CNV-1077513-4.jpeg,768,496,380928,1.548,36.54,39.08,255,0,255,36.54,36.54,36.54,0
OCT,train,CNV,CNV-1083927-100.jpeg,512,496,253952,1.032,83.87,66.41,255,0,255,83.87,83.87,83.87,0
OCT,train,CNV,CNV-1083927-101.jpeg,768,496,380928,1.548,47.58,43.17,255,0,255,47.58,47.58,47.58,0
OCT,train,CNV,CNV-1083927-102.jpeg,768,496,380928,1.548,57.46,51.6,255,0,255,57.46,57.46,57.46,0
OCT,train,CNV,CNV-1083927-104.jpeg,512,496,253952,1.032,34.53,37.45,255,0,255,34.53,34.53,34.53,0
OCT,train,CNV,CNV-1083927-105.jpeg,512,496,253952,1.032,48.62,45.34,255,0,255,48.62,48.62,48.62,0
OCT,train,CNV,CNV-1083927-106.jpeg,512,496,253952,1.032,54.46,51.61,255,0,255,54.46,54.46,54.46,0
OCT,train,CNV,CNV-1083927-107.jpeg,512,496,253952,1.032,33.6,35.56,255,0,255,33.6,33.6,33.6,0
OCT,train,CNV,CNV-1083927-108.jpeg,768,496,380928,1.548,48.95,45.45,255,0,255,48.95,48.95,48.95,0
OCT,train,CNV,CNV-1083927-109.jpeg,768,496,380928,1.548,48.48,45.88,255,0,255,48.48,48.48,48.48,0
OCT,train,CNV,CNV-1083927-111.jpeg,512,496,253952,1.032,39.31,36.59,255,0,255,39.31,39.31,39.31,0
OCT,train,CNV,CNV-1083927-112.jpeg,512,496,253952,1.032,92.21,80.26,255,0,255,92.21,92.21,92.21,0
OCT,train,CNV,CNV-1083927-113.jpeg,512,496,253952,1.032,91.46,80.15,255,0,255,91.46,91.46,91.46,0
OCT,train,CNV,CNV-1083927-114.jpeg,512,496,253952,1.032,98.96,84.77,255,0,255,98.96,98.96,98.96,0
OCT,train,CNV,CNV-1083927-115.jpeg,768,496,380928,1.548,59.68,52.33,255,0,255,59.68,59.68,59.68,0
OCT,train,CNV,CNV-1083927-12.jpeg,512,496,253952,1.032,76.79,84.99,255,0,255,76.79,76.79,76.79,0
OCT,train,CNV,CNV-1083927-121.jpeg,512,496,253952,1.032,72.84,55.82,255,0,255,72.84,72.84,72.84,0
OCT,train,CNV,CNV-1083927-122.jpeg,512,496,253952,1.032,93.35,64.31,255,0,255,93.35,93.35,93.35,0
OCT,train,CNV,CNV-1083927-123.jpeg,512,496,253952,1.032,62.78,49.63,255,0,255,62.78,62.78,62.78,0
OCT,train,CNV,CNV-1083927-124.jpeg,512,496,253952,1.032,57.35,42.77,255,0,255,57.35,57.35,57.35,0
OCT,train,CNV,CNV-1083927-125.jpeg,768,496,380928,1.548,49.0,43.86,255,0,255,49.0,49.0,49.0,0
OCT,train,CNV,CNV-1083927-126.jpeg,768,496,380928,1.548,51.93,45.05,255,0,255,51.93,51.93,51.93,0
OCT,train,CNV,CNV-1083927-127.jpeg,512,496,253952,1.032,73.93,79.16,255,0,255,73.93,73.93,73.93,0
OCT,train,CNV,CNV-1083927-128.jpeg,512,496,253952,1.032,74.16,75.95,255,0,255,74.16,74.16,74.16,0
OCT,train,CNV,CNV-1083927-13.jpeg,512,496,253952,1.032,55.25,70.5,255,0,255,55.25,55.25,55.25,0
OCT,train,CNV,CNV-1083927-130.jpeg,1536,496,761856,3.097,33.57,31.68,255,0,255,33.57,33.57,33.57,0
OCT,train,CNV,CNV-1083927-131.jpeg,512,496,253952,1.032,53.37,58.89,255,0,255,53.37,53.37,53.37,0
OCT,train,CNV,CNV-1083927-132.jpeg,512,496,253952,1.032,56.79,61.37,255,0,255,56.79,56.79,56.79,0
OCT,train,CNV,CNV-1083927-133.jpeg,512,496,253952,1.032,79.1,55.92,255,0,255,79.1,79.1,79.1,0
OCT,train,CNV,CNV-1083927-134.jpeg,512,496,253952,1.032,86.14,57.19,255,0,255,86.14,86.14,86.14,0
OCT,train,CNV,CNV-1083927-135.jpeg,512,496,253952,1.032,78.31,49.88,255,0,255,78.31,78.31,78.31,0
OCT,train,CNV,CNV-1083927-14.jpeg,512,496,253952,1.032,95.63,76.2,255,0,255,95.63,95.63,95.63,0
OCT,train,CNV,CNV-1083927-140.jpeg,512,496,253952,1.032,31.51,41.62,255,0,255,31.51,31.51,31.51,0
OCT,train,CNV,CNV-1083927-141.jpeg,512,496,253952,1.032,34.29,46.34,255,0,255,34.29,34.29,34.29,0
OCT,train,CNV,CNV-1083927-142.jpeg,768,496,380928,1.548,48.46,48.36,255,0,255,48.46,48.46,48.46,0
OCT,train,CNV,CNV-1083927-143.jpeg,768,496,380928,1.548,58.75,50.65,255,0,255,58.75,58.75,58.75,0
OCT,train,CNV,CNV-1083927-144.jpeg,512,496,253952,1.032,83.6,76.6,255,0,255,83.6,83.6,83.6,0
OCT,train,CNV,CNV-1083927-145.jpeg,512,496,253952,1.032,71.4,60.01,255,0,255,71.4,71.4,71.4,0
OCT,train,CNV,CNV-1083927-146.jpeg,512,496,253952,1.032,74.12,55.89,255,0,255,74.12,74.12,74.12,0
OCT,train,CNV,CNV-1083927-147.jpeg,768,496,380928,1.548,60.71,51.5,255,0,255,60.71,60.71,60.71,0
OCT,train,CNV,CNV-1083927-15.jpeg,512,496,253952,1.032,97.06,75.51,255,0,255,97.06,97.06,97.06,0
OCT,train,CNV,CNV-1083927-151.jpeg,768,496,380928,1.548,49.9,42.0,255,0,255,49.9,49.9,49.9,0
OCT,train,CNV,CNV-1083927-152.jpeg,768,496,380928,1.548,66.69,58.74,255,0,255,66.69,66.69,66.69,0
OCT,train,CNV,CNV-1083927-153.jpeg,1536,496,761856,3.097,27.64,27.36,255,0,255,27.64,27.64,27.64,0
OCT,train,CNV,CNV-1083927-154.jpeg,512,496,253952,1.032,94.05,72.84,255,0,255,94.05,94.05,94.05,0
OCT,train,CNV,CNV-1083927-156.jpeg,512,496,253952,1.032,92.81,82.5,255,0,255,92.81,92.81,92.81,0
OCT,train,CNV,CNV-1083927-157.jpeg,768,496,380928,1.548,50.63,49.28,255,0,255,50.63,50.63,50.63,0
OCT,train,CNV,CNV-1083927-159.jpeg,768,496,380928,1.548,48.34,48.22,255,0,255,48.34,48.34,48.34,0
OCT,train,CNV,CNV-1083927-161.jpeg,1536,496,761856,3.097,29.54,32.06,255,0,255,29.54,29.54,29.54,0
OCT,train,CNV,CNV-1083927-162.jpeg,512,496,253952,1.032,57.55,59.85,255,0,255,57.55,57.55,57.55,0
OCT,train,CNV,CNV-1083927-163.jpeg,512,496,253952,1.032,46.75,49.59,255,0,255,46.75,46.75,46.75,0
OCT,train,CNV,CNV-1083927-164.jpeg,512,496,253952,1.032,84.08,64.67,255,0,255,84.08,84.08,84.08,0
OCT,train,CNV,CNV-1083927-165.jpeg,768,496,380928,1.548,59.94,53.67,255,0,255,59.94,59.94,59.94,0
OCT,train,CNV,CNV-1083927-166.jpeg,768,496,380928,1.548,43.47,44.17,255,0,255,43.47,43.47,43.47,0
OCT,train,CNV,CNV-1083927-167.jpeg,768,496,380928,1.548,55.43,50.65,255,0,255,55.43,55.43,55.43,0
OCT,train,CNV,CNV-1083927-168.jpeg,1536,496,761856,3.097,74.77,55.16,255,0,255,74.77,74.77,74.77,0
OCT,train,CNV,CNV-1083927-169.jpeg,1536,496,761856,3.097,40.43,36.27,255,0,255,40.43,40.43,40.43,0
OCT,train,CNV,CNV-1083927-17.jpeg,768,496,380928,1.548,69.98,59.09,255,0,255,69.98,69.98,69.98,0
OCT,train,CNV,CNV-1083927-170.jpeg,512,496,253952,1.032,127.02,79.9,255,0,255,127.02,127.02,127.02,0
OCT,train,CNV,CNV-1083927-173.jpeg,768,496,380928,1.548,53.2,49.09,255,0,255,53.2,53.2,53.2,0
OCT,train,CNV,CNV-1083927-174.jpeg,512,496,253952,1.032,41.48,38.69,255,0,255,41.48,41.48,41.48,0
OCT,train,CNV,CNV-1083927-175.jpeg,512,496,253952,1.032,72.5,64.83,255,0,255,72.5,72.5,72.5,0
OCT,train,CNV,CNV-1083927-176.jpeg,512,496,253952,1.032,102.08,84.14,255,0,255,102.08,102.08,102.08,0
OCT,train,CNV,CNV-1083927-177.jpeg,512,496,253952,1.032,113.03,88.06,255,0,255,113.03,113.03,113.03,0
OCT,train,CNV,CNV-1083927-18.jpeg,768,496,380928,1.548,54.92,48.54,255,0,255,54.92,54.92,54.92,0
OCT,train,CNV,CNV-1083927-180.jpeg,768,496,380928,1.548,45.74,44.46,255,0,255,45.74,45.74,45.74,0
OCT,train,CNV,CNV-1083927-181.jpeg,1536,496,761856,3.097,45.75,46.04,255,0,255,45.75,45.75,45.75,0
OCT,train,CNV,CNV-1083927-182.jpeg,1536,496,761856,3.097,47.53,49.28,255,0,255,47.53,47.53,47.53,0
OCT,train,CNV,CNV-1083927-183.jpeg,1536,496,761856,3.097,33.71,32.71,255,0,255,33.71,33.71,33.71,0
OCT,train,CNV,CNV-1083927-184.jpeg,512,496,253952,1.032,104.8,80.86,255,0,255,104.8,104.8,104.8,0
OCT,train,CNV,CNV-1083927-185.jpeg,512,496,253952,1.032,84.75,68.47,255,0,255,84.75,84.75,84.75,0
OCT,train,CNV,CNV-1083927-186.jpeg,512,496,253952,1.032,82.15,76.03,255,0,255,82.15,82.15,82.15,0
OCT,train,CNV,CNV-1083927-187.jpeg,1536,496,761856,3.097,36.38,35.57,255,0,255,36.38,36.38,36.38,0
OCT,train,CNV,CNV-1083927-188.jpeg,512,496,253952,1.032,39.35,41.85,255,0,255,39.35,39.35,39.35,0
OCT,train,CNV,CNV-1083927-189.jpeg,512,496,253952,1.032,74.92,53.5,255,0,255,74.92,74.92,74.92,0
OCT,train,CNV,CNV-1083927-19.jpeg,512,496,253952,1.032,41.33,61.23,255,0,255,41.33,41.33,41.33,0
OCT,train,CNV,CNV-1083927-190.jpeg,512,496,253952,1.032,89.35,70.91,255,0,255,89.35,89.35,89.35,0
OCT,train,CNV,CNV-1083927-191.jpeg,512,496,253952,1.032,89.25,68.51,255,0,255,89.25,89.25,89.25,0
OCT,train,CNV,CNV-1083927-192.jpeg,768,496,380928,1.548,57.58,51.08,255,0,255,57.58,57.58,57.58,0
OCT,train,CNV,CNV-1083927-193.jpeg,768,496,380928,1.548,49.89,48.32,255,0,255,49.89,49.89,49.89,0
OCT,train,CNV,CNV-1083927-194.jpeg,768,496,380928,1.548,59.86,52.23,255,0,255,59.86,59.86,59.86,0
OCT,train,CNV,CNV-1083927-195.jpeg,768,496,380928,1.548,38.34,45.66,255,0,255,38.34,38.34,38.34,0
OCT,train,CNV,CNV-1083927-196.jpeg,512,496,253952,1.032,60.48,50.72,255,0,255,60.48,60.48,60.48,0
OCT,train,CNV,CNV-1083927-197.jpeg,512,496,253952,1.032,68.36,62.52,255,0,255,68.36,68.36,68.36,0
OCT,train,CNV,CNV-1083927-198.jpeg,512,496,253952,1.032,67.5,62.38,255,0,255,67.5,67.5,67.5,0
OCT,train,CNV,CNV-1083927-199.jpeg,768,496,380928,1.548,56.24,51.71,255,0,255,56.24,56.24,56.24,0
OCT,train,CNV,CNV-1083927-2.jpeg,512,496,253952,1.032,56.74,61.62,255,0,255,56.74,56.74,56.74,0
OCT,train,CNV,CNV-1083927-20.jpeg,512,496,253952,1.032,88.91,82.01,255,0,255,88.91,88.91,88.91,0
OCT,train,CNV,CNV-1083927-200.jpeg,1536,496,761856,3.097,26.39,25.49,255,0,255,26.39,26.39,26.39,0
OCT,train,CNV,CNV-1083927-201.jpeg,512,496,253952,1.032,56.94,72.82,255,0,255,56.94,56.94,56.94,0
